Date,Rating,Title,Reviews
Mar 2020,30,Nothing special,7 hour flight with no movie service unless you have your own device that has the united app installed. My 90 year old dad doesn't own a smart device so was without entertainment for the flight. i gave him my phone that had the app but small screen was not worth watching.
Mar 2020,50,Best flight ever,"After a great trip to Hawaii, there is only one way to get back to the States. And that is on United's Fleet that have the angled beds in first class. Take the evening flight so that you can sleep during the night. You have unlimited drinks, full dinner, free movies, blankets and pillows beds completely lie flat. For breakfast and hot warm towels in the morning when you wake up. It was the perfect ending to a perfect trip."
Mar 2020,50,Wonderful Round Trip - United - Newark to St. Lucia,It was a great trip. Smooth flight. Everything on time. Direct flight. Crew was excellent. Baggage handled well.
Mar 2020,50,Great Experience!,We actually flew from Calgary to Houston and then on to San Antonio and then returned San Antonio to Houston with United Airlines. All 3 were excellent experiences with wonderful attendants and service. Very comfortable flights and everything was on time. I would highly recommend United!
Mar 2020,50,Economy only had about 30 passengers,There was plenty of room to spread out. No one was coughing. Picking up our bags was a breeze. The airports were not busy.
Mar 2020,30,United International from Newark,"Service was OK but by the end of the flight, bathrooms were filthy. The crew did very little to keep them clean. Seats were small and uncomfortable, not very pleasant for 11 hours."
Mar 2020,40,Enjoyable flight,Very enjoyable flight home from the Grand Caymans with United Airlines.  Comfortable seats in Economy plus with plenty of leg room for my 5’11”.  Good in flight entertainment and pleasant service from the efficient crew.
Mar 2020,10,worst connection ever in 30 years,Our flight was cancelled on thursday night from Houston to Querétaro Mex.  We have waited a complete day( Friday) at the George Bush airport in Houston for a connection to Querétaro Mexico.  We had to change our plans flying from Houston to Dallas and the day after(Saturday) from Dallas to Querétaro .    United did not answer to our claims about their bad service.
Mar 2020,50,Wonderful experience!,This was my best experience with UA. The plane was fairly new and spacious. The flight attendants had great service on board. My carry-on luggage was checked in to my final destination without any fee. It was a great flight!
Mar 2020,50,"UA flight, but transferred to Air Canada Great Flight","Booked with UA but it was actually an Air Canada plane and staff. Flight was only 20% full so plenty of space to spread out. Excellent flight, left on time and arrived on time, lovely cabin crew could not have been better."
Mar 2020,30,Not the Best,"Very disappointed with this airline/ seats were very narrow / food was not very good, in fact could not eat the main meal.Cabin staff were not too friendly / seemed to be in a rush to get their tasks done. By choice I would not use this airline again."
Mar 2020,40,The People are their Greatest Asset,"Overall, the flight was great. I was in economy plus from Amsterdam (AMS) to Chicago (ORD), and upgraded to First class for the remainder of the trip to Philadelphia (PHL). Seats were comfortable, plenty of legroom, flight attendants did a great job. The crew made several rounds offering small bottles of water.    The prepared meal on the leg from AMS to ORD was okay - not getting a gourmet meal on an airplane. Wine and beer were complimentary on the route from AMS to PHL, and the selections of beer were good - I'm an IPA drinker."
